Home,Start Time,Result,Away,AH Line Home,AH Home Odds,AH Away Odds,Home Win Odds,Draw Odds,Away Win Odds,O/U Line,Over Odds,Under Odds,Implied_GD,lambda_total,lambda_home,lambda_away,pUnder_fair,AH_model_WF,AH_market_pHome,Goals_Home,Goals_Away,PK_Home,PK_Away,IGDev_Home,IGDev_Away,H_Actual_GD_NP,H_Actual_GD_NP – Implied_GD,GD Dev Percentage,OverPerf_Thres_H,UnderPerf_Thres_H,OverPerf,UnderPerf,Normal Range
Alaves,2025-11-22,HT:0-0/FT:0-1,Celta de Vigo,0,1.75,2.1,2.4,2.8,2.85,2.5,2.3,1.53,0.166935,2.283112,1.225024,1.058088,0.600522,0.541311,0.545455,0,1,0,1,-1.225024,-1.058088,0,-0.166935,-100,0.275443,0.058427,No,Yes,No
Valencia,2025-11-21,HT:0-0/FT:1-0,Levante,-0.5,2,1.8,2,3.2,3.2,2.5,1.83,1.83,0.456562,2.67406,1.565311,1.108749,0.5,0.478844,0.473684,1,0,0,0,-0.565311,-1.108749,1,0.543438,119.03,0.753327,0.159797,No,No,Yes
Celta de Vigo,2025-11-09,HT:2-3/FT:2-4,Barcelona,0.75,1.97,1.85,4.3,3.9,1.58,3.5,2,1.7,-0.972556,3.481913,1.254679,2.227235,0.540541,0.461256,0.484293,2,4,0,1,0.745321,0.772765,-1,-0.027444,2.82,-0.340395,-1.604717,Yes,No,No
Valencia,2025-11-09,HT:0-0/FT:1-1,Real Betis,0.25,1.85,1.97,2.9,3.2,2.15,2.5,1.8,1.87,-0.290685,2.712927,1.211121,1.501806,0.490463,0.496971,0.515707,1,1,0,0,-0.211121,-0.501806,0,0.290685,-100,-0.10174,-0.47963,Yes,No,No
Mallorca,2025-11-09,HT:1-0/FT:1-0,Getafe,0,1.72,2.15,2.4,2.7,3,1.5,1.58,2.2,0.216762,1.956206,1.086484,0.869722,0.417989,0.557151,0.555556,1,0,0,0,-0.086484,-0.869722,1,0.783238,361.34,0.357657,0.075867,Yes,No,No
Vallecano,2025-11-09,HT:0-0/FT:0-0,Real Madrid,1,2.05,1.75,5.2,4.5,1.42,3.5,2.35,1.5,-1.260879,3.164685,0.951903,2.212782,0.61039,0.45671,0.460526,0,0,0,0,-0.951903,-2.212782,0,1.260879,-100,-0.441308,-2.08045,Yes,No,No
Athletic Bilbao,2025-11-09,HT:1-0/FT:1-0,Oviedo,-0.75,1.77,2.07,1.42,3.8,7,2.5,2.15,1.6,1.549629,2.386143,1.967886,0.418257,0.573333,0.679963,0.539063,1,0,0,0,-0.967886,-0.418257,1,-0.549629,-35.47,2.556888,0.54237,No,Yes,No
Espanyol,2025-11-08,HT:0-1/FT:0-2,Villarreal,0,2.07,1.77,2.65,3.2,2.3,2.5,1.72,1.97,-0.137599,2.813994,1.338197,1.475796,0.466125,0.468889,0.460938,0,2,0,0,-1.338197,0.524204,-2,-1.862401,1353.5,-0.04816,-0.227038,No,Yes,No
Atletico Madrid,2025-11-08,HT:1-1/FT:3-1,Levante,-2,2,1.8,1.2,6,9.5,3.5,2.1,1.63,2.009798,3.378776,2.694287,0.684489,0.563003,0.48049,0.473684,3,1,0,0,0.305713,0.315511,2,-0.009798,-0.49,3.316167,0.703429,No,Yes,No
Sevilla,2025-11-08,HT:0-0/FT:1-0,Osasuna,-0.25,1.85,1.97,2.05,3.1,3.2,2.5,2.1,1.63,0.432575,2.425723,1.429149,0.996574,0.563003,0.536845,0.515707,1,0,1,0,-1.429149,-0.996574,0,-0.432575,-100,0.713749,0.151401,No,Yes,No
Girona,2025-11-08,HT:1-0/FT:1-0,Alaves,-0.25,2.07,1.77,2.35,3,2.75,2.5,2.15,1.6,0.15269,2.386143,1.269416,1.116726,0.573333,0.467951,0.460938,1,0,0,0,-0.269416,-1.116726,1,0.84731,554.92,0.251939,0.053442,Yes,No,No
Elche,2025-11-07,HT:0-0/FT:1-1,Sociedad,0,1.93,1.88,2.55,3,2.5,2.5,2.1,1.63,-0.019236,2.425723,1.203244,1.22248,0.563003,0.495356,0.493438,1,1,0,1,-0.203244,-1.22248,1,1.019236,-5298.59,-0.006733,-0.031739,Yes,No,No
Oviedo,2025-11-03,HT:0-0/FT:0-0,Osasuna,0.25,1.75,2.1,2.85,2.8,2.4,2.5,2.45,1.47,-0.166935,2.191477,1.012271,1.179206,0.625,0.53063,0.545455,0,0,0,0,-1.012271,-1.179206,0,0.166935,-100,-0.058427,-0.275443,Yes,No,No
Real Betis,2025-11-02,HT:3-0/FT:3-0,Mallorca,-1,2,1.82,1.53,3.8,5,2.5,1.8,1.87,1.150303,2.712927,1.931615,0.781312,0.490463,0.518657,0.47644,3,0,0,0,1.068385,-0.781312,3,1.849697,160.8,1.898,0.402606,No,No,Yes
Barcelona,2025-11-02,HT:2-1/FT:3-1,Elche,-2,1.91,1.91,1.2,5.2,11,3.5,1.77,1.9,2.152208,3.757158,2.954683,0.802475,0.482289,0.511343,0.5,3,1,0,0,0.045317,0.197525,2,-0.152208,-7.07,3.551143,0.753273,No,Yes,No
Alaves,2025-11-02,HT:2-0/FT:2-1,Espanyol,-0.25,2.07,1.77,2.3,2.85,2.95,2.5,2.35,1.5,0.241778,2.246064,1.243921,1.002143,0.61039,0.488915,0.460938,2,1,0,0,0.756079,-0.002143,1,0.758222,313.6,0.398934,0.084622,Yes,No,No
Levante,2025-11-02,HT:0-1/FT:1-2,Celta de Vigo,0.25,1.77,2.07,2.7,3.1,2.3,2.5,1.72,1.97,-0.155757,2.813994,1.329118,1.484875,0.466125,0.527596,0.539063,1,2,0,0,-0.329118,0.515125,-1,-0.844243,542.03,-0.054515,-0.256999,No,Yes,No
Real Madrid,2025-11-01,HT:3-0/FT:4-0,Valencia,-2.25,2.02,1.8,1.15,6.5,10,3.5,1.93,1.75,2.100966,3.556663,2.828815,0.727848,0.524457,0.446315,0.471204,4,0,1,0,0.171185,-0.727848,3,0.899034,42.79,3.466594,0.735338,No,No,Yes
Sociedad,2025-11-01,HT:1-1/FT:3-2,Athletic Bilbao,0,1.88,1.93,2.55,2.8,2.65,1.5,1.45,2.5,0.037366,2.149347,1.093357,1.055991,0.367089,0.509497,0.506562,3,2,0,0,1.906643,0.944009,1,0.962634,2576.23,0.061654,0.013078,Yes,No,No
Atletico Madrid,2025-11-01,HT:0-0/FT:3-0,Sevilla,-1.25,1.8,2.02,1.28,5,8,2.5,1.53,2.3,1.78017,3.107797,2.443983,0.663814,0.399478,0.59712,0.528796,3,0,1,0,-0.443983,-0.663814,2,0.21983,12.35,2.937281,0.62306,No,Yes,No
Villarreal,2025-11-01,HT:1-0/FT:4-0,Vallecano,-0.75,1.87,1.9,1.65,3.6,4.2,2.5,1.65,2.07,0.907588,2.910454,1.909021,1.001433,0.443548,0.52558,0.503979,4,0,0,0,2.090979,-1.001433,4,3.092412,340.73,1.49752,0.317656,Yes,No,No
Getafe,2025-10-31,HT:0-0/FT:2-1,Girona,-0.25,1.77,2.03,2.05,2.8,3.6,1.5,1.47,2.45,0.54699,2.118031,1.33251,0.785521,0.375,0.567113,0.534211,2,1,0,1,0.66749,-0.785521,2,1.45301,265.64,0.902534,0.191447,Yes,No,No
Real Betis,2025-10-27,HT:0-2/FT:0-2,Atletico Madrid,0.25,1.91,1.91,2.9,3.4,2.05,2.5,1.75,1.93,-0.33695,2.774545,1.218797,1.555748,0.475543,0.486147,0.5,0,2,0,0,-1.218797,0.444252,-2,-1.66305,493.56,-0.117933,-0.555968,No,Yes,No
Vallecano,2025-10-26,HT:0-0/FT:1-0,Alaves,-0.25,1.77,2.07,2,2.9,3.6,1.5,1.47,2.45,0.570976,2.118031,1.344503,0.773527,0.375,0.573304,0.539063,1,0,0,0,-0.344503,-0.773527,1,0.429024,75.14,0.94211,0.199842,No,No,Yes
Osasuna,2025-10-26,HT:2-1/FT:2-3,Celta de Vigo,-0.25,2,1.82,2.25,3,2.9,2.5,2.07,1.65,0.246522,2.450965,1.348744,1.102221,0.556452,0.491436,0.47644,2,3,1,0,-0.348744,1.897779,-2,-2.246522,-911.29,0.406761,0.086283,No,Yes,No
Real Madrid,2025-10-26,HT:2-1/FT:2-1,Barcelona,-0.5,1.95,1.8,1.95,3.7,2.95,3.5,1.77,1.9,0.402136,3.757158,2.079647,1.677511,0.482289,0.474247,0.48,2,1,0,0,-0.079647,-0.677511,1,0.597864,148.67,0.663524,0.140748,No,No,Yes
Mallorca,2025-10-26,HT:0-1/FT:1-1,Levante,-0.5,1.97,1.77,1.97,3.1,3.4,2.5,2.1,1.63,0.530134,2.425723,1.477929,0.947795,0.563003,0.494911,0.473262,1,1,0,0,-0.477929,0.052205,0,-0.530134,-100,0.874721,0.185547,No,Yes,No
Valencia,2025-10-25,HT:0-1/FT:0-2,Villarreal,0.5,1.85,1.97,2.95,3.2,2.1,2.5,1.77,1.9,-0.330148,2.746559,1.208206,1.538353,0.482289,0.550656,0.515707,0,2,0,1,-1.208206,-0.538353,-1,-0.669852,202.89,-0.115552,-0.544744,No,Yes,No
Athletic Bilbao,2025-10-25,HT:0-0/FT:0-1,Getafe,-0.75,1.82,2,1.58,3.4,5.2,1.5,1.5,2.35,1.157164,2.061519,1.609342,0.452177,0.38961,0.589351,0.52356,0,1,0,0,-1.609342,0.547823,-1,-2.157164,-186.42,1.909321,0.405007,No,Yes,No
Espanyol,2025-10-25,HT:0-0/FT:1-0,Elche,-0.5,1.95,1.8,1.95,3.2,3.4,2.5,2,1.7,0.540046,2.512774,1.52641,0.986364,0.540541,0.498084,0.48,1,0,0,0,-0.52641,-0.986364,1,0.459954,85.17,0.891076,0.189016,No,No,Yes
Girona,2025-10-25,HT:0-1/FT:3-3,Oviedo,-0.75,2.02,1.8,1.75,3.3,4.1,2.5,1.97,1.72,0.827022,2.538895,1.682959,0.855937,0.533875,0.50606,0.471204,3,3,2,1,-0.682959,1.144063,-1,-1.827022,-220.92,1.364586,0.289458,No,Yes,No
Sociedad,2025-10-24,HT:2-1/FT:2-1,Sevilla,-0.5,1.95,1.8,1.95,3.1,3.5,2.5,1.97,1.72,0.568204,2.538895,1.55355,0.985345,0.533875,0.505282,0.48,2,1,1,0,-0.55355,0.014655,0,-0.568204,-100,0.937537,0.198871,No,Yes,No
Alaves,2025-10-20,HT:0-0/FT:0-0,Valencia,-0.25,1.95,1.82,2.2,2.85,3.1,2.5,2.35,1.5,0.333137,2.246064,1.2896,0.956464,0.61039,0.51206,0.482759,0,0,0,0,-1.2896,-0.956464,0,-0.333137,-100,0.549676,0.116598,No,Yes,No
Getafe,2025-10-19,HT:0-0/FT:0-1,Real Madrid,1.25,1.85,1.97,6.5,4.2,1.37,2.5,1.93,1.75,-1.512461,2.576058,0.531798,2.04426,0.524457,0.461652,0.515707,0,1,0,0,-0.531798,-1.04426,-1,0.512461,-33.88,-0.529361,-2.495561,Yes,No,No
Levante,2025-10-19,HT:0-2/FT:0-3,Vallecano,0,1.95,1.82,2.55,3.2,2.4,2.5,1.93,1.75,-0.058891,2.576058,1.258584,1.317474,0.524457,0.486149,0.482759,0,3,0,0,-1.258584,1.682526,-3,-2.941109,4994.16,-0.020612,-0.09717,No,Yes,No
Celta de Vigo,2025-10-19,HT:1-0/FT:1-1,Sociedad,-0.5,2,1.77,2.05,3.1,3.2,2.5,1.9,1.77,0.432575,2.602863,1.517719,1.085144,0.517711,0.472265,0.469496,1,1,0,0,-0.517719,-0.085144,0,-0.432575,-100,0.713749,0.151401,No,Yes,No
Elche,2025-10-19,HT:0-0/FT:0-0,Athletic Bilbao,0.5,1.77,2,3.2,3.1,2.05,2.5,2.15,1.6,-0.432575,2.386143,0.976784,1.409359,0.573333,0.530425,0.530504,0,0,0,0,-0.976784,-1.409359,0,0.432575,-100,-0.151401,-0.713749,Yes,No,No
Atletico Madrid,2025-10-18,HT:0-0/FT:1-0,Osasuna,-1.25,1.87,1.9,1.35,4.3,7.5,2.5,1.8,1.87,1.665755,2.712927,2.189341,0.523586,0.490463,0.573998,0.503979,1,0,0,0,-1.189341,-0.523586,1,-0.665755,-39.97,2.748496,0.583014,No,Yes,No
Villarreal,2025-10-18,HT:1-0/FT:2-2,Real Betis,-0.25,1.77,2.03,1.9,3.4,3.4,3.5,2.35,1.5,0.565279,3.164685,1.864982,1.299703,0.61039,0.563388,0.534211,2,2,0,0,0.135018,0.700297,0,-0.565279,-100,0.93271,0.197848,No,Yes,No
Barcelona,2025-10-18,HT:1-1/FT:2-1,Girona,-2,1.77,2.03,1.15,7,9,3.5,1.58,2.2,1.998619,4.08005,3.039335,1.040716,0.417989,0.483253,0.534211,2,1,0,0,-1.039335,-0.040716,1,-0.998619,-49.97,3.297721,0.699517,No,Yes,No
Sevilla,2025-10-18,HT:1-0/FT:1-3,Mallorca,-0.5,1.9,1.85,1.9,3.05,3.8,2.5,2.1,1.63,0.673323,2.425723,1.549523,0.8762,0.563003,0.531396,0.493333,1,3,0,0,-0.549523,2.1238,-2,-2.673323,-397.03,1.110983,0.235663,No,Yes,No
Oviedo,2025-10-17,HT:0-0/FT:0-2,Espanyol,0,2.05,1.75,2.75,3,2.35,2.5,2.15,1.6,-0.15269,2.386143,1.116726,1.269416,0.573333,0.462911,0.460526,0,2,0,0,-1.116726,0.730584,-2,-1.84731,1209.84,-0.053442,-0.251939,No,Yes,No
Celta de Vigo,2025-10-05,HT:0-1/FT:1-1,Atletico Madrid,0.75,1.85,1.97,3.9,3.7,1.67,2.5,1.75,1.93,-0.823896,2.774545,0.975325,1.79922,0.475543,0.493718,0.515707,1,1,0,0,0.024675,-0.79922,0,0.823896,-100,-0.288364,-1.359428,Yes,No,No
Sociedad,2025-10-05,HT:0-0/FT:0-1,Vallecano,-0.25,1.77,2.03,2,3.2,3.3,2.5,2,1.7,0.486453,2.512774,1.499614,1.013161,0.540541,0.549583,0.534211,0,1,0,0,-1.499614,-0.013161,-1,-1.486453,-305.57,0.802647,0.170259,No,Yes,No
Espanyol,2025-10-05,HT:1-0/FT:1-2,Real Betis,0,1.82,1.95,2.4,3.2,2.55,2.5,1.77,1.9,0.058891,2.746559,1.402725,1.343834,0.482289,0.513467,0.517241,1,2,0,0,-0.402725,0.656166,-1,-1.058891,-1798.05,0.09717,0.020612,No,Yes,No
Sevilla,2025-10-05,HT:2-1/FT:4-1,Barcelona,1.25,1.9,1.87,5.2,5,1.37,3.5,1.97,1.72,-1.2957,3.51279,1.108545,2.404245,0.533875,0.505435,0.496021,4,1,1,0,1.891455,-1.404245,2,3.2957,-254.36,-0.453495,-2.137905,Yes,No,No
Alaves,2025-10-05,HT:0-0/FT:3-1,Elche,-0.25,1.95,1.82,2.2,2.9,3.1,1.5,1.5,2.35,0.333137,2.061519,1.197328,0.864191,0.38961,0.511404,0.482759,3,1,1,0,0.802672,0.135809,1,0.666863,200.18,0.549676,0.116598,Yes,No,No
Real Madrid,2025-10-04,HT:0-0/FT:3-1,Villarreal,-1.25,1.87,1.9,1.37,4.5,6,3.5,1.97,1.72,1.434708,3.51279,2.473749,1.039041,0.533875,0.523148,0.503979,3,1,1,0,-0.473749,-0.039041,1,-0.434708,-30.3,2.367268,0.502148,No,Yes,No
Athletic Bilbao,2025-10-04,HT:1-0/FT:2-1,Mallorca,-0.75,1.77,2.03,1.45,3.7,6.5,2.5,2.1,1.63,1.457332,2.425723,1.941528,0.484196,0.563003,0.657529,0.534211,2,1,1,0,-0.941528,0.515804,0,-1.457332,-100,2.404598,0.510066,No,Yes,No
Girona,2025-10-04,HT:1-0/FT:2-1,Valencia,-0.25,2.03,1.77,2.3,3.1,2.7,2.5,1.87,1.8,0.155757,2.635571,1.395664,1.239907,0.509537,0.471015,0.465789,2,1,0,0,0.604336,-0.239907,1,0.844243,542.03,0.256999,0.054515,Yes,No,No
Oviedo,2025-10-04,HT:0-1/FT:0-2,Levante,-0.25,2.05,1.75,2.35,3.1,2.65,2.5,2.15,1.6,0.116708,2.386143,1.251425,1.134717,0.573333,0.459117,0.460526,0,2,0,0,-1.251425,0.865283,-2,-2.116708,-1813.68,0.192568,0.040848,No,Yes,No
Osasuna,2025-10-03,HT:1-1/FT:2-1,Getafe,-0.25,1.82,1.95,2.1,2.75,3.5,1.5,1.58,2.2,0.496216,1.956206,1.226211,0.729995,0.417989,0.554731,0.517241,2,1,0,0,0.773789,0.270005,1,0.503784,101.53,0.818756,0.173676,No,No,Yes
Valencia,2025-09-30,HT:1-0/FT:1-2,Oviedo,-0.75,1.8,2,1.58,3.6,4.8,2.5,1.97,1.72,1.079411,2.538895,1.809153,0.729742,0.533875,0.566458,0.526316,1,2,0,0,-0.809153,1.270258,-1,-2.079411,-192.64,1.781028,0.377794,No,Yes,No
Real Betis,2025-09-28,HT:2-0/FT:2-0,Osasuna,-0.5,1.77,2.03,1.63,3.7,4.2,2.5,1.77,1.9,0.919434,2.746559,1.832997,0.913562,0.482289,0.590205,0.534211,2,0,0,0,0.167003,-0.913562,2,1.080566,117.53,1.517066,0.321802,No,No,Yes
Barcelona,2025-09-28,HT:1-1/FT:2-1,Sociedad,-1.75,1.87,1.9,1.25,5,9.5,3.5,1.77,1.9,1.970143,3.757158,2.863651,0.893508,0.482289,0.527731,0.503979,2,1,0,0,-0.863651,0.106492,1,-0.970143,-49.24,3.250736,0.68955,No,Yes,No
Elche,2025-09-28,HT:1-1/FT:2-1,Celta de Vigo,0,2,1.82,2.65,3,2.45,2.5,2.1,1.63,-0.076227,2.425723,1.174748,1.250975,0.563003,0.4816,0.47644,2,1,0,0,0.825252,-0.250975,1,1.076227,-1411.87,-0.026679,-0.125775,Yes,No,No
Vallecano,2025-09-28,HT:0-0/FT:0-1,Sevilla,-0.5,2,1.77,2,3.05,3.4,2.5,2.1,1.63,0.515452,2.425723,1.470588,0.955136,0.563003,0.491173,0.469496,0,1,0,0,-1.470588,0.044864,-1,-1.515452,-294,0.850496,0.180408,No,Yes,No
Villarreal,2025-09-27,HT:0-0/FT:1-0,Athletic Bilbao,-0.5,2,1.77,2.03,3.05,3.3,2.5,1.93,1.75,0.47199,2.576058,1.524024,1.052034,0.524457,0.481688,0.469496,1,0,0,0,-0.524024,-1.052034,1,0.52801,111.87,0.778784,0.165197,No,No,Yes
Mallorca,2025-09-27,HT:1-0/FT:1-0,Alaves,-0.25,1.93,1.88,2.15,2.9,3.2,1.5,1.5,2.35,0.386309,2.061519,1.223914,0.837605,0.38961,0.52539,0.493438,1,0,0,0,-0.223914,-0.837605,1,0.613691,158.86,0.63741,0.135208,No,No,Yes
Atletico Madrid,2025-09-27,HT:2-2/FT:5-2,Real Madrid,0.25,1.8,2.02,2.7,3.3,2.2,2.5,1.58,2.2,-0.198937,3.023304,1.412183,1.61112,0.417989,0.516631,0.528796,5,2,1,0,2.587817,0.38888,2,2.198937,-1105.34,-0.069628,-0.328246,Yes,No,No
Getafe,2025-09-27,HT:0-1/FT:1-1,Levante,-0.25,1.8,2,2,3,3.6,1.5,1.47,2.45,0.570976,2.118031,1.344503,0.773527,0.375,0.573304,0.526316,1,1,0,0,-0.344503,0.226473,0,-0.570976,-100,0.94211,0.199842,No,Yes,No
Girona,2025-09-26,HT:0-0/FT:0-0,Espanyol,0,1.75,2.1,2.3,3.1,2.7,2.5,1.83,1.83,0.155757,2.67406,1.414909,1.259152,0.5,0.536009,0.545455,0,0,0,0,-1.414909,-1.259152,0,-0.155757,-100,0.256999,0.054515,No,Yes,No
Oviedo,2025-09-25,HT:1-0/FT:1-3,Barcelona,1.75,1.85,1.87,9,5.5,1.22,3.5,2,1.7,-1.94122,3.481913,0.770346,2.711567,0.540541,0.478643,0.502688,1,3,0,0,0.229654,0.288433,-2,-0.05878,3.03,-0.679427,-3.203013,Yes,No,No
Osasuna,2025-09-25,HT:1-0/FT:1-1,Elche,-0.5,2,1.8,2,2.9,3.8,2.5,2.2,1.58,0.623497,2.353093,1.488295,0.864798,0.582011,0.51841,0.473684,1,1,0,0,-0.488295,0.135202,0,-0.623497,-100,1.02877,0.218224,No,Yes,No
Atletico Madrid,2025-09-24,HT:1-1/FT:3-2,Vallecano,-1.25,2.05,1.75,1.5,3.9,5.2,2.5,1.8,1.87,1.207638,2.712927,1.960282,0.752644,0.490463,0.4686,0.460526,3,2,0,0,1.039718,1.247356,1,-0.207638,-17.19,1.992603,0.422673,No,Yes,No
Sociedad,2025-09-24,HT:0-0/FT:1-0,Mallorca,-0.75,1.97,1.8,1.7,3.3,4.3,2.5,2.1,1.63,0.901446,2.425723,1.663585,0.762139,0.563003,0.52369,0.477454,1,0,0,0,-0.663585,-0.762139,1,0.098554,10.93,1.487386,0.315506,No,Yes,No
Getafe,2025-09-24,HT:0-0/FT:1-1,Alaves,-0.5,1.92,1.77,2.2,2.7,3.4,1.5,1.67,2.03,0.422868,1.83894,1.130904,0.708036,0.451351,0.456465,0.479675,1,1,0,0,-0.130904,0.291964,0,-0.422868,-100,0.697732,0.148004,No,Yes,No
Sevilla,2025-09-23,HT:0-1/FT:1-2,Villarreal,0.25,1.85,1.92,2.9,3.2,2.15,2.5,1.8,1.87,-0.290685,2.712927,1.211121,1.501806,0.490463,0.496971,0.509284,1,2,0,0,-0.211121,0.498194,-1,-0.709315,244.01,-0.10174,-0.47963,No,Yes,No
Levante,2025-09-23,HT:0-2/FT:1-4,Real Madrid,1.25,2,1.77,7,5.2,1.3,3.5,2.15,1.6,-1.635396,3.331756,0.84818,2.483576,0.573333,0.434927,0.469496,1,4,0,1,0.15182,0.516424,-2,-0.364604,22.29,-0.572389,-2.698403,Yes,No,No
Espanyol,2025-09-23,HT:0-1/FT:2-2,Valencia,-0.25,1.97,1.85,2.15,3.05,3,2.5,2.1,1.63,0.323617,2.425723,1.37467,1.051053,0.563003,0.510168,0.484293,2,2,0,0,0.62533,0.948947,0,-0.323617,-100,0.533968,0.113266,No,Yes,No
Athletic Bilbao,2025-09-23,HT:0-1/FT:1-1,Girona,-1,1.77,2.03,1.37,4.4,6.5,2.5,1.83,1.83,1.512461,2.67406,2.093261,0.580799,0.5,0.60156,0.534211,1,1,0,0,-1.093261,0.419201,0,-1.512461,-100,2.495561,0.529361,No,Yes,No
Barcelona,2025-09-21,HT:2-0/FT:3-0,Getafe,-1.75,1.97,1.85,1.22,5.2,11,3.5,2.35,1.5,2.136152,3.164685,2.650418,0.514267,0.61039,0.56227,0.484293,3,0,0,0,0.349582,-0.514267,3,0.863848,40.44,3.524651,0.747653,No,No,Yes
Elche,2025-09-21,HT:1-0/FT:1-0,Oviedo,-0.5,2,1.8,2,2.95,3.7,2.5,2.45,1.47,0.597591,2.191477,1.394534,0.796943,0.625,0.510654,0.473684,1,0,0,0,-0.394534,-0.796943,1,0.402409,67.34,0.986025,0.209157,No,No,Yes
Mallorca,2025-09-21,HT:0-0/FT:1-1,Atletico Madrid,0.75,1.85,1.97,4.5,3.3,1.67,2.5,2.1,1.63,-0.962904,2.425723,0.73141,1.694314,0.563003,0.461286,0.515707,1,1,0,0,0.26859,-0.694314,0,0.962904,-100,-0.337016,-1.588792,Yes,No,No
Vallecano,2025-09-21,HT:0-0/FT:1-1,Celta de Vigo,-0.5,2.02,1.8,2.2,3.05,2.95,2.5,1.97,1.72,0.284958,2.538895,1.411927,1.126969,0.533875,0.435054,0.471204,1,1,0,0,-0.411927,-0.126969,0,-0.284958,-100,0.470181,0.099735,No,Yes,No
Valencia,2025-09-20,HT:0-0/FT:2-0,Athletic Bilbao,0.25,1.75,2.1,2.8,2.9,2.4,2.5,2.3,1.53,-0.149742,2.283112,1.066685,1.216427,0.600522,0.533911,0.545455,2,0,0,0,0.933315,-1.216427,2,2.149742,-1435.63,-0.05241,-0.247074,Yes,No,No
Alaves,2025-09-20,HT:1-1/FT:1-2,Sevilla,-0.25,2.07,1.77,2.3,2.9,2.9,1.5,1.45,2.5,0.225172,2.149347,1.18726,0.962088,0.367089,0.48387,0.460938,1,2,1,0,-1.18726,1.037912,-2,-2.225172,-988.21,0.371534,0.07881,No,Yes,No
Villarreal,2025-09-20,HT:0-1/FT:2-1,Osasuna,-0.75,1.77,2.03,1.48,4,5.2,2.5,1.67,2.03,1.220677,2.876795,2.048736,0.828059,0.451351,0.596091,0.534211,2,1,0,1,-0.048736,-0.828059,2,0.779323,63.84,2.014117,0.427237,No,No,Yes
Real Madrid,2025-09-20,HT:1-0/FT:2-0,Espanyol,-2,1.93,1.88,1.18,5.5,12,3.5,2,1.7,2.253058,3.481913,2.867485,0.614428,0.540541,0.530769,0.493438,2,0,0,0,-0.867485,-0.614428,2,-0.253058,-11.23,3.717546,0.78857,No,Yes,No
Girona,2025-09-20,HT:0-1/FT:0-4,Levante,-0.5,1.87,1.87,1.87,3.4,3.5,2.5,1.8,1.87,0.608897,2.712927,1.660912,1.052015,0.490463,0.515945,0.5,0,4,0,0,-1.660912,2.947985,-4,-4.608897,-756.93,1.00468,0.213114,No,Yes,No
Real Betis,2025-09-19,HT:1-1/FT:3-1,Sociedad,-0.5,1.95,1.77,1.95,3.2,3.3,2.5,1.97,1.72,0.511047,2.538895,1.524971,1.013924,0.533875,0.491042,0.475806,3,1,0,0,1.475029,-0.013924,2,1.488953,291.35,0.843228,0.178866,Yes,No,No
Espanyol,2025-09-15,HT:2-1/FT:3-2,Mallorca,-0.25,1.93,1.88,2.15,3,3.1,2.5,2.25,1.55,0.355469,2.314848,1.335158,0.97969,0.592105,0.517833,0.493438,3,2,1,1,0.664842,0.02031,1,0.644531,181.32,0.586524,0.124414,Yes,No,No
Barcelona,2025-09-14,HT:1-0/FT:6-0,Valencia,-1.75,1.8,2.02,1.2,6,10,3.5,1.75,1.93,2.059624,3.789948,2.924786,0.865162,0.475543,0.545525,0.528796,6,0,0,0,3.075214,-0.865162,6,3.940376,191.32,3.39838,0.720868,Yes,No,No
Osasuna,2025-09-14,HT:1-0/FT:2-0,Vallecano,0,1.75,2.1,2.35,2.95,2.8,1.5,1.45,2.5,0.170193,2.149347,1.15977,0.989577,0.367089,0.5432,0.545455,2,0,0,0,0.84023,-0.989577,2,1.829807,1075.14,0.280818,0.059568,Yes,No,No
Levante,2025-09-14,HT:2-1/FT:2-2,Real Betis,0.5,1.8,2.02,3.05,3.2,2.05,2.5,1.87,1.8,-0.385939,2.635571,1.124816,1.510755,0.509537,0.538735,0.528796,2,2,0,0,0.875184,0.489245,0,0.385939,-100,-0.135079,-0.636799,Yes,No,No
Celta de Vigo,2025-09-14,HT:0-1/FT:1-1,Girona,-0.75,1.88,1.93,1.65,3.7,4.1,2.5,1.63,2.1,0.88418,2.938988,1.911584,1.027404,0.436997,0.520328,0.506562,1,1,1,0,-1.911584,-0.027404,-1,-1.88418,-213.1,1.458897,0.309463,No,Yes,No
Atletico Madrid,2025-09-13,HT:1-0/FT:2-0,Villarreal,-0.75,1.97,1.8,1.82,3.2,3.7,2.5,1.67,2.03,0.689205,2.876795,1.783,1.093795,0.451351,0.476151,0.477454,2,0,0,0,0.217,-1.093795,2,1.310795,190.19,1.137188,0.241222,Yes,No,No
Athletic Bilbao,2025-09-13,HT:0-0/FT:0-1,Alaves,-0.75,1.77,2.07,1.5,3.6,6,2.5,2.2,1.58,1.346646,2.353093,1.849869,0.503223,0.582011,0.632739,0.539063,0,1,0,0,-1.849869,0.496777,-1,-2.346646,-174.26,2.221966,0.471326,No,Yes,No
Sociedad,2025-09-13,HT:0-2/FT:1-2,Real Madrid,1,1.85,1.97,4.8,4,1.5,2.5,1.65,2.07,-1.129885,2.910454,0.890285,2.020169,0.443548,0.485357,0.515707,1,2,1,0,-0.890285,-0.020169,-2,-0.870115,77.01,-0.39546,-1.86431,No,No,Yes
